Name,R.A.,Dec.,16cm,4cm,15mm,7mm,3mm
0723-008,07:25:51,-00:54:57,10.335,8.484,4.383,3.162,4.004
0724-47,07:26:26,-47:28:53,0.436,0.631,0.63,0.56,0.404
0727-365,07:29:05,-36:39:45,0.627,0.742,0.81,0.501,0.35
0727-115,07:30:19,-11:41:13,2.697,3.349,3.386,2.181,2.169
0728-235,07:31:07,-23:41:48,1.149,1.051,0.79,0.54,0.373
0729-222,07:31:32,-22:24:21,1.861,0.898,0.358,0.174,0.079
0729+019,07:32:23,01:50:35,0.259,0.271,0.272,0.241,0.06
0731-465,07:32:44,-46:40:17,0.853,0.64,0.324,0.161,0.095
0731+050,07:33:57,04:56:15,0.233,0.202,0.149,0.084,0.577
J0734-7711,07:34:43,-77:11:13,0.183,0.172,0.221,0.078,0.103
0733-174,07:35:46,-17:35:49,2.299,1.416,0.566,0.285,0.085
0736-332,07:38:17,-33:22:13,0.783,0.663,0.181,0.044,0.015
0736-303,07:38:20,-30:25:05,0.836,0.421,0.092,0.028,0.022
0736-063,07:38:57,-06:26:58,1.535,0.876,0.386,0.201,0.083
0736+017,07:39:18,01:37:05,1.053,1.126,1.507,1.452,1.516
0738-246,07:40:15,-24:44:37,0.533,0.47,0.401,0.284,0.154
J0741-4709,07:41:45,-47:09:26,0.401,0.634,0.61,0.713,0.186
0742-56,07:43:20,-56:19:33,0.505,0.684,0.531,0.395,0.316
0741-063,07:44:22,-06:29:36,6.258,2.775,0.791,0.292,0.079
0743-006,07:45:54,-00:44:18,1.273,1.832,1.453,1.13,0.448
0744-158,07:46:18,-15:55:34,0.338,0.397,0.204,0.149,0.18
J0746-5618,07:46:58,-56:18:33,0.083,0.121,0.114,0.116,0.123
0745-330,07:47:20,-33:10:47,0.892,1.085,1.33,1.267,1.722
0745-165,07:48:03,-16:39:50,1.155,0.913,0.615,0.388,0.364
J0748-5258,07:48:13,-52:58:32,0.176,0.178,0.196,0.123,0.16
0748-440,07:49:42,-44:12:30,1.24,0.33,0.044,0.01,0.021
0748+019,07:51:02,01:52:16,0.136,0.176,0.08,0.06,0.08
0754+100,07:57:07,09:56:35,1.048,1.66,1.69,1.412,0.734
0757-737,07:57:14,-73:53:09,0.601,0.359,0.306,0.171,0.154
0759-283,08:01:46,-28:31:07,0.211,0.232,0.171,0.111,0.05
0801+044,08:03:56,04:21:03,0.324,0.312,0.3,0.22,0.147
0802-276,08:04:51,-27:49:11,0.447,0.797,0.34,0.412,0.239
0804-267,08:06:13,-26:52:33,0.578,0.448,0.283,0.192,0.389
J0806-6101,08:06:49,-61:01:30,0.153,0.191,0.128,0.109,0.182
0805-077,08:08:16,-07:51:10,1.297,1.538,2.533,1.453,1.493
0805+053,08:08:39,05:14:40,0.1,0.104,0.092,0.07,0.354
0808+019,08:11:27,01:46:52,0.794,0.827,1.555,1.037,1.077
J0812-7420,08:12:31,-74:20:13,0.382,0.056,0.064,0.021,0.026
0812-354,08:14:15,-35:38:26,0.777,0.365,0.109,0.062,0.091
0812-029,08:15:28,-03:08:27,1.135,0.235,0.013,-0.022,0.024
J0817-4809,08:17:11,-48:09:20,0.126,0.318,0.085,0.071,0.021
0816+054,08:18:56,05:17:37,0.251,0.243,0.183,0.116,0.104
0818-128,08:20:57,-12:58:59,0.864,0.746,0.539,0.379,0.733
J0820-5705,08:20:59,-57:05:33,0.833,0.064,0.065,0.033,0.01
J0823-4501,08:23:27,-45:01:46,0.247,0.176,0.175,0.083,0.056
0823-500,08:25:27,-50:10:38,6.35,3.019,0.703,0.261,0.107
0823+033,08:25:50,03:09:25,1.661,1.544,1.857,1.176,1.706
0823-223,08:26:02,-22:30:27,0.77,1.23,1.148,0.893,1.869
0825-202,08:27:17,-20:26:22,2.169,0.851,0.165,0.042,0.041
0826-373,08:28:05,-37:31:06,1.8,1.851,1.328,0.903,0.962
0829+046,08:31:49,04:29:39,0.867,1.543,2.415,2.754,0.776
J0832-4846,08:32:13,-48:46:55,0.186,0.195,0.119,0.084,0.051
0830+040,08:33:19,03:50:32,0.338,0.306,0.328,0.281,0.394
J0833-7305,08:33:43,-73:05:26,0.271,0.213,0.174,0.042,0.265
0833-450,08:35:21,-45:10:35,0.446,0.031,0.001,0.002,0.01
J0835-5953,08:35:29,-59:53:11,0.072,0.35,0.584,0.45,0.729
0834-201,08:36:39,-20:17:00,1.623,0.92,0.471,0.465,1.077
0834-196,08:37:11,-19:51:57,3.491,1.468,0.423,0.19,0.1
0837+035,08:39:49,03:19:54,0.761,0.657,0.403,0.241,0.193
0837+012,08:39:50,01:04:27,0.832,0.895,0.963,1.045,0.799
0842-754,08:41:27,-75:40:28,0.948,,,,
0841-60,08:42:27,-60:53:50,0.712,0.618,0.405,0.271,1.538
0843-54,08:45:02,-54:58:09,0.862,1.037,0.746,0.718,0.703
J0845-6527,08:45:11,-65:27:23,0.133,0.371,0.148,0.051,0.08
0842+048,08:45:17,04:39:47,0.482,0.437,0.334,0.296,0.675
J0845-5555,08:45:50,-55:55:27,0.352,0.616,0.558,0.412,0.553
0843-259,08:46:01,-26:10:54,1.466,0.61,0.115,0.039,0.01
J0851-5228,08:51:56,-52:28:13,0.334,0.377,0.328,0.288,0.294
J0851-5441,08:51:58,-54:41:34,0.452,0.156,0.138,0.108,0.073
J0852-5755,08:52:39,-57:55:30,0.458,0.149,0.486,0.216,0.626
0850-206,08:53:00,-20:47:28,0.806,0.377,0.038,0.005,0.004
0851+071,08:53:48,06:54:47,0.61,0.321,0.211,0.191,0.682
0851+075,08:54:35,07:20:24,0.107,0.134,0.096,0.09,0.199
0851+202,08:54:49,20:06:31,,5.245,5.248,4.602,7.253
J0855-7149,08:55:12,-71:49:06,0.385,0.505,0.358,0.215,0.288
J0857-7719,08:57:43,-77:19:32,0.589,0.271,0.075,0.045,0.048
0858-279,09:00:40,-28:08:20,2.013,2.032,1.015,0.55,0.091
J0901-6636,09:01:16,-66:36:33,0.131,0.246,0.17,0.141,0.126
0859-140,09:02:17,-14:15:31,2.348,1.63,1.22,0.902,0.502
0903-573,09:04:53,-57:35:06,1.563,2.353,3.488,1.29,
0906-682,09:06:52,-68:29:40,1.197,0.398,0.09,0.018,0.031
0906-47,09:08:42,-47:36:51,0.797,0.458,0.216,0.152,0.15
0906+015,09:09:10,01:21:36,1.041,1.845,2.533,1.656,1.949
J0909-7445,09:09:21,-74:45:08,0.288,0.211,0.151,0.11,0.116
0907+022,09:09:40,02:00:05,0.16,0.158,0.083,0.081,0.206
0912+029,09:14:38,02:45:59,0.333,0.34,0.335,0.346,1.016
0913+003,09:15:52,00:07:13,0.31,0.24,0.158,0.106,0.122
J0919-5340,09:19:44,-53:40:06,2.191,0.42,0.302,0.313,0.239
0918+082,09:21:01,08:05:06,0.089,0.137,0.178,0.089,0.217
0919-260,09:21:29,-26:18:43,1.352,1.819,1.417,0.879,1.078
J0921-8209,09:21:43,-82:09:36,0.108,0.261,0.218,0.005,0.289
0920-397,09:22:46,-39:59:35,2.133,1.93,1.713,1.54,1.863
J0923-6648,09:23:48,-66:48:37,0.198,0.226,0.271,0.18,0.144
0922+005,09:25:08,00:19:14,1.003,1.063,0.598,0.369,0.332
0925-203,09:27:52,-20:34:51,0.648,0.583,0.441,0.781,0.379
0928+008,09:30:52,00:34:59,0.234,0.232,0.12,0.273,0.281
J0931-6229,09:31:28,-62:29:36,0.404,0.314,0.215,0.181,0.108
J0932-6419,09:32:16,-64:19:17,0.343,0.205,0.098,0.057,0.036
0932+094,09:35:14,09:15:08,0.112,0.171,0.109,0.078,0.179
J0938-6556,09:38:42,-65:56:13,0.148,0.219,0.147,0.085,0.044
0939-608,09:40:47,-61:07:28,0.915,1.37,1.289,0.902,1.327
J0942-7731,09:42:43,-77:31:12,0.141,0.199,0.31,0.233,0.604
J0943-7620,09:43:20,-76:20:02,,0.19,0.003,0.001,
0941-080,09:43:37,-08:19:31,2.275,1.146,0.37,0.176,0.028
0943+105,09:46:35,10:17:06,,0.345,0.222,0.145,
0945-321,09:48:10,-32:23:47,0.519,0.365,0.15,0.111,0.055
0946+006,09:48:57,00:22:26,0.137,0.203,0.253,0.309,0.56
J0953-6924,09:53:21,-69:24:25,0.141,0.212,0.191,0.103,0.111
J0958-5757,09:58:03,-57:57:37,,0.009,,,
0956-40,09:58:38,-41:10:33,0.522,0.398,0.437,0.291,0.098
0959-443,10:02:00,-44:38:01,0.463,0.529,0.45,0.321,0.082
J1002-7008,10:02:22,-70:08:16,0.405,0.306,0.198,0.158,0.215
1004-50,10:06:14,-50:18:13,0.521,0.622,0.803,0.836,1.194
1004-018,10:07:04,-02:07:11,0.512,0.543,0.562,0.361,0.227
J1007-5356,10:07:21,-53:56:42,0.391,0.222,0.088,0.054,0.037
1005+077,10:08:00,07:30:17,1.739,1.858,0.239,0.094,0.226
1005+066,10:08:01,06:21:21,0.188,0.235,0.415,0.219,0.317
1008+066,10:11:00,06:24:40,1.723,0.597,0.053,0.016,0.194
1012-44,10:14:50,-45:08:41,0.803,0.745,0.487,0.41,0.48
1013+054,10:16:03,05:13:02,0.262,0.346,0.153,0.264,0.179
J1017-5224,10:17:17,-52:24:47,0.281,0.264,0.224,0.167,0.09
1015-314,10:18:09,-31:44:14,3.291,1.353,0.457,0.235,0.087
1015+057,10:18:28,05:30:30,0.236,0.336,0.134,0.196,0.267
1016-311,10:18:29,-31:23:54,0.376,0.55,0.562,0.712,0.542
J1019-6047,10:19:54,-60:47:48,0.422,0.548,0.214,0.315,0.419
1018-426,10:20:03,-42:51:42,2.605,0.82,0.134,0.015,0.023
1022-66,10:23:44,-66:46:49,1.008,0.986,0.482,0.315,0.34
1021-006,10:24:30,-00:52:55,0.779,0.571,0.252,0.092,0.156
J1028-6441,10:28:04,-64:41:16,0.167,0.113,0.082,0.039,0.176
1025+031,10:28:20,02:55:22,0.203,0.268,0.198,0.176,0.173
1026+055,10:29:22,05:19:39,0.185,0.166,0.118,0.107,0.205
1030-340,10:33:13,-34:18:45,0.973,0.253,0.027,0.005,0.038
1032-199,10:35:02,-20:11:34,1.162,1.15,0.805,0.744,0.344
J1036-5047,10:36:44,-50:47:43,0.32,0.244,0.149,0.177,0.257
1034-374,10:36:53,-37:44:14,,0.414,,,
1034-293,10:37:16,-29:34:03,1.249,1.209,1.651,1.66,1.533
1035+046,10:37:39,04:24:02,0.191,0.139,0.137,0.088,0.25
1036-697,10:38:29,-70:03:09,1.709,0.612,0.12,0.048,0.009
1036-52,10:38:41,-53:11:43,1.321,1.472,1.134,0.872,0.789
1036+054,10:38:47,05:12:29,0.72,1.614,1.247,0.981,0.227
1036-154,10:39:07,-15:41:07,0.343,0.552,0.437,0.34,0.216
1038+064,10:41:17,06:10:17,1.818,1.531,1.039,1.162,0.204
J1041-6431,10:41:17,-64:31:02,0.125,0.122,0.095,0.128,0.467
1039+029,10:41:39,02:42:31,2.279,0.467,0.205,0.083,0.174
1039-47,10:41:45,-47:40:00,2.447,1.972,1.247,0.807,0.731
1041-45,10:43:51,-45:30:10,0.699,0.607,0.185,0.067,0.011
1042+071,10:44:56,06:55:38,0.379,0.321,0.242,0.262,0.178
1042-594,10:45:04,-59:41:04,0.006,0.452,0.086,,
1045-62,10:47:43,-62:17:15,1.16,1.254,1.208,0.758,1.239
1045-188,10:48:07,-19:09:36,0.862,0.955,0.911,0.988,0.818
1045+011,10:48:08,00:55:43,0.472,0.327,0.257,0.151,0.161
J1048-4639,10:48:18,-46:39:17,0.522,0.346,0.275,0.251,0.305
1046-409,10:48:38,-41:14:00,1.097,0.468,0.301,0.225,0.392
J1050-7254,10:50:45,-72:54:32,0.057,0.18,0.055,0.031,0.031
1048-47,10:50:53,-47:19:05,0.942,0.674,0.342,0.221,0.185
1048-313,10:51:05,-31:38:14,0.713,0.469,0.349,0.197,0.127
1049-53,10:51:09,-53:44:47,0.718,0.63,0.43,0.285,0.459
1049-650,10:51:24,-65:18:09,,0.261,,,
J1053-5546,10:53:52,-55:46:50,0.206,0.18,0.207,0.151,0.237
J1055-5413,10:55:17,-54:13:32,0.421,0.115,0.121,0.088,0.049
1055-242,10:57:55,-24:33:49,0.875,0.563,0.27,0.181,0.092
1055+018,10:58:30,01:33:59,4.145,5.024,5.768,5.194,5.082
1057-797,10:58:43,-80:03:54,0.837,3.645,3.311,2.59,3.374
J1100-4249,11:00:50,-42:49:13,0.223,0.27,0.175,0.103,0.124
1059-63,11:01:54,-63:25:23,0.973,0.596,0.445,0.371,0.546
J1102-4404,11:02:05,-44:04:23,0.445,0.878,1.256,0.575,1.003
J1103-5626,11:03:15,-56:26:36,0.095,0.108,0.077,0.08,0.181
1101-325,11:03:32,-32:51:17,0.51,0.779,0.527,0.446,0.346
1101-536,11:03:52,-53:57:01,0.695,0.84,0.871,0.838,0.816
1103-208,11:06:22,-21:09:00,1.048,0.551,0.051,0.009,0.111
1104-445,11:07:09,-44:49:08,2.68,2.463,1.922,1.767,2.527
1105-680,11:07:13,-68:20:51,0.897,1.081,0.761,0.477,0.318
J1108-4329,11:08:32,-43:29:40,0.158,0.162,0.101,0.071,0.054
J1109-4815,11:09:19,-48:15:19,0.163,0.178,0.24,0.291,0.489
1109-56,11:12:07,-57:03:40,0.724,0.695,0.459,0.37,0.4
1110-217,11:12:50,-21:58:29,1.107,0.661,0.255,0.156,0.161
1113+087,11:16:10,08:29:22,0.147,0.296,0.345,0.237,0.212
1116-462,11:18:27,-46:34:15,2.466,1.441,1.396,1.178,0.882
1116+128,11:18:57,12:34:42,,1.663,,,
1116-027,11:19:25,-03:02:51,0.887,0.165,0.021,0.001,0.199
1117-248,11:20:09,-25:08:08,1.327,0.65,0.173,0.031,0.165
1117+146,11:20:28,14:20:55,,0.987,0.318,0.148,0.065
1118+073,11:20:38,07:04:47,0.294,0.215,0.112,0.063,0.266
1120+057,11:23:09,05:30:21,1.05,0.407,0.039,0.029,0.212
J1123-6417,11:23:19,-64:17:36,0.163,0.27,0.491,0.544,0.684
J1123-5334,11:23:54,-53:34:17,0.064,0.06,0.084,0.036,0.109
1123-351,11:25:53,-35:23:43,0.08,0.031,0.049,0.042,0.056
1124-186,11:27:04,-18:57:17,0.854,1.041,0.945,1.295,2.232
1127-145,11:30:07,-14:49:27,4.208,4.288,3.28,2.619,1.555
1128+090,11:30:36,08:46:43,0.198,0.154,0.113,0.095,0.14
1128-047,11:31:31,-05:00:20,0.595,0.582,0.438,0.36,0.361
1129-58,11:31:43,-58:18:53,0.632,1.46,1.616,1.052,0.312
J1132-5606,11:32:16,-56:06:45,0.36,0.371,0.383,0.396,0.966
1130+008,11:32:46,00:34:28,0.334,0.265,0.157,0.108,0.172
1130+005,11:33:03,00:15:49,0.312,0.277,0.179,0.163,0.153
1130+009,11:33:20,00:40:53,0.287,0.284,0.193,0.155,0.157
1133-681,11:36:02,-68:27:06,1.108,1.315,0.943,0.697,0.54
1133-739,11:36:10,-74:15:45,,0.473,,,
1136-135,11:39:11,-13:50:44,0.384,0.562,0.451,0.388,0.216
1140-114,11:42:35,-11:41:48,0.684,0.212,0.028,0.007,0.206
1142+052,11:45:21,04:55:27,0.49,0.354,0.276,0.267,0.143
1142-225,11:45:22,-22:50:31,0.67,0.682,0.503,0.389,0.194
J1145-4836,11:45:31,-48:36:10,0.602,0.68,0.566,0.505,0.646
1143-245,11:46:08,-24:47:33,1.327,1.066,0.485,0.259,0.121
1143-287,11:46:26,-28:59:19,0.272,0.295,0.426,0.339,0.906
1143-332,11:46:28,-33:28:43,0.363,0.351,0.24,0.223,0.45
1144-379,11:47:01,-38:12:11,1.705,2.436,2.008,2.569,2.69
J1147-6753,11:47:33,-67:53:42,0.757,1.495,0.754,1.207,1.116
1145-071,11:47:52,-07:24:41,1.318,1.125,0.719,0.499,0.316
J1148-6745,11:48:18,-67:45:39,0.285,0.242,0.141,0.097,0.155
1147+245,11:50:19,24:17:54,,,0.756,0.696,
J1150-5416,11:50:34,-54:16:42,0.088,0.415,0.231,0.107,0.13
1148-001,11:50:44,-00:23:54,2.413,1.828,1.042,0.911,
1148-671,11:51:13,-67:28:11,1.876,1.559,0.579,0.286,0.095
J1152-0841,11:52:17,-08:41:03,1.023,1.035,2.439,0.491,
J1152-8344,11:52:53,-83:44:09,0.203,0.457,0.389,0.38,0.378
1151-350,11:53:36,-35:22:32,0.637,0.517,0.225,0.137,0.107
J1154-6542,11:54:15,-65:42:16,0.116,0.123,0.262,0.266,0.197
1151-348,11:54:22,-35:05:29,6.12,2.854,0.989,0.529,0.454
1156-221,11:59:11,-22:28:37,0.878,0.357,0.199,0.14,0.16
1156+101,11:59:12,09:54:47,0.15,0.182,0.135,0.158,0.242
1156-094,11:59:13,-09:40:52,0.851,0.653,0.411,0.315,0.148
1156+295,11:59:32,29:14:44,2.032,2.466,3.786,,
1157-215,11:59:52,-21:48:54,0.608,0.777,0.355,0.18,0.12
1159-515,12:01:43,-51:50:34,0.374,0.45,0.099,0.035,0.013
J1204-5055,12:04:59,-50:55:57,0.135,0.245,0.216,0.113,0.055
1203-262,12:05:33,-26:34:04,0.821,0.66,0.519,0.636,0.501
1204+057,12:06:58,05:29:52,0.394,0.308,0.228,0.165,0.137
J1207-4734,12:07:24,-47:34:54,0.426,0.616,0.552,0.64,0.423
J1208-7809,12:08:18,-78:09:49,0.142,0.144,0.094,0.081,0.406
1206-238,12:09:02,-24:06:21,0.644,1.044,1.158,1.148,0.956
1206-399,12:09:35,-40:16:13,0.464,0.279,0.161,0.114,0.069
1207-319,12:09:40,-32:14:53,0.281,0.25,0.256,0.22,0.099
1213-172,12:15:47,-17:31:45,2.592,2.397,2.195,1.609,1.217
1214-60,12:17:06,-61:13:25,0.546,0.377,0.162,0.087,0.115
1215-457,12:18:06,-46:00:29,4.648,2.066,0.773,0.379,0.303
1217+023,12:20:12,02:03:42,0.482,0.444,0.463,0.895,1.133
1217-55,12:20:26,-56:04:43,0.263,0.423,0.369,0.234,0.307
J1221-4559,12:21:47,-45:59:06,0.596,0.585,0.398,0.505,0.242
1219+054,12:21:52,05:10:16,0.312,0.231,0.191,0.153,0.126
J1222-6035,12:22:06,-60:35:32,0.42,0.407,0.453,0.297,0.242
J1222-4122,12:22:10,-41:22:58,0.181,0.168,0.175,0.109,0.13
1219+044,12:22:23,04:13:16,0.774,0.604,0.585,1.204,0.326
1221-665,12:24:32,-66:50:13,1.407,0.67,0.146,0.054,0.017
1222+037,12:24:52,03:30:50,0.523,0.861,1.628,0.88,0.91
1221-829,12:24:54,-83:13:10,0.719,0.984,0.474,0.528,0.477
1222+216,12:24:54,21:22:46,,1.235,0.819,1.898,
J1225-4936,12:25:43,-49:36:46,0.31,0.32,0.256,0.296,0.368
J1226-4557,12:26:48,-45:57:39,0.534,0.583,0.558,0.323,0.251
1226+023,12:29:07,02:03:09,40.702,26.549,16.324,11.783,11.513
J1229-6003,12:29:27,-60:03:37,0.177,0.147,0.143,0.09,0.226
1228+126,12:30:49,12:23:28,,1.79,0.006,3.52,
1228+045,12:31:28,04:18:02,0.556,0.466,0.24,0.214,0.345
J1234-6139,12:34:52,-61:39:09,,0.09,,,
1232-416,12:35:42,-41:53:19,1.357,0.401,0.063,0.021,0.184
J1237-7235,12:37:12,-72:35:31,0.212,0.203,0.219,0.141,0.266
1234-504,12:37:15,-50:46:23,1.84,0.537,0.104,0.037,0.022
1235+076,12:38:02,07:23:22,0.28,0.536,0.581,0.448,0.345
1236+077,12:39:25,07:30:17,0.445,0.451,0.455,0.319,1.417
1237-101,12:39:43,-10:23:29,1.809,1.141,0.631,0.455,0.3
1236-684,12:39:47,-68:45:31,0.534,0.362,0.286,0.155,0.398
1239-044,12:42:20,-04:46:21,2.46,0.836,0.065,0.022,0.01
J1243-6811,12:43:45,-68:11:03,0.342,0.278,0.202,0.164,0.299
J1244-5213,12:44:33,-52:13:01,0.325,0.268,0.236,0.229,0.267
1243-412,12:45:58,-41:28:45,1.348,0.55,0.204,0.114,0.08
1243-072,12:46:04,-07:30:47,0.708,0.837,1.191,0.758,0.745
1244-255,12:46:47,-25:47:49,0.654,0.563,0.797,0.801,4.175
1245-197,12:48:24,-19:59:19,4.747,2.202,0.7,0.312,
1248-350,12:51:39,-35:18:40,,0.228,,,
J1252-6737,12:52:43,-67:37:39,1.009,0.693,0.547,0.358,0.465
1252+119,12:54:38,11:41:06,,0.799,0.817,,
1252+028,12:54:45,02:33:29,0.166,0.181,0.131,0.085,0.048
J1254-6111,12:54:47,-61:11:35,0.239,0.219,0.184,0.13,0.426
1251-713,12:55:00,-71:38:18,1.265,0.961,0.857,0.54,0.892
J1256-6449,12:56:03,-64:49:15,0.358,0.2,0.281,0.114,0.35
1253-055,12:56:11,-05:47:22,11.42,15.984,23.864,18.426,18.344
1255-316,12:57:59,-31:55:17,1.822,2.349,1.514,1.134,0.456
1256-220,12:58:54,-22:19:31,0.88,0.935,0.788,0.778,
J1259-2310,12:59:08,-23:10:37,,0.369,,,
1258+087,13:00:36,08:28:03,0.133,0.215,0.319,0.228,0.183
J1303-5540,13:03:49,-55:40:32,0.372,0.281,0.582,0.41,0.687
1302-102,13:05:33,-10:33:19,0.956,0.822,0.833,0.662,1.68
1305-668,13:08:17,-67:07:05,0.56,0.483,0.463,0.436,0.309
J1308-4352,13:08:23,-43:52:04,0.202,0.272,0.187,0.181,0.132
1306-095,13:08:39,-09:50:33,3.934,1.942,0.671,0.223,0.319
1307+010,13:10:29,00:44:09,0.216,0.198,0.165,0.095,0.04
1308-220,13:11:39,-22:16:42,3.918,1.051,0.171,0.058,0.031
J1312-7724,13:12:39,-77:24:13,0.244,0.266,0.201,0.161,0.329
1313-333,13:16:08,-33:38:59,1.33,1.341,1.232,1.188,1.204
J1317-4522,13:17:40,-45:22:19,0.259,0.226,0.252,0.139,0.162
1315-46,13:18:30,-46:20:35,1.837,0.632,0.163,0.074,0.04
J1322-8419,13:22:28,-84:19:34,0.143,0.134,0.093,0.074,
J1322-6532,13:22:54,-65:32:20,0.596,0.644,0.444,0.265,0.288
1320-446,13:23:04,-44:52:34,2.631,1.006,0.27,0.109,0.041
1322-427,13:25:28,-43:01:09,2.12,6.604,6.998,6.537,17.844
J1326-5256,13:26:49,-52:56:24,1.108,1.051,1.319,0.812,2.434
J1327-4214,13:27:36,-42:14:32,0.323,0.175,0.099,0.092,0.058
1325-55,13:29:01,-56:08:03,0.499,0.616,0.515,0.764,1.125
J1330-7003,13:30:11,-70:03:13,0.415,0.528,0.481,0.68,0.917
1327-311,13:30:19,-31:22:59,0.497,0.411,0.305,0.218,0.099
1328+307,13:31:08,30:30:33,10.725,7.077,1.378,,
1329-665,13:32:38,-66:46:50,2.238,0.733,0.209,0.091,0.057
1334-127,13:37:40,-12:57:25,2.465,2.421,2.304,3.575,5.862
1335-061,13:38:08,-06:27:11,1.633,0.522,0.032,0.031,0.026
1336-260,13:39:20,-26:20:30,0.808,0.922,0.841,0.627,0.44
1338-58,13:42:13,-58:27:59,2.521,0.878,0.177,0.055,0.004
J1345-6936,13:45:12,-69:36:52,0.088,0.125,0.15,0.083,0.082
1343-300,13:45:52,-30:15:05,1.236,0.55,0.19,0.089,0.044
1344-078,13:47:02,-08:03:24,1.113,0.244,0.027,0.019,0.005
1345+125,13:47:33,12:17:24,,3.258,1.808,,
1346-391,13:49:51,-39:22:50,1.273,0.389,0.055,0.039,0.214
1349-145,13:51:53,-14:49:15,1.038,0.928,0.663,0.396,0.373
1337-875,13:52:16,-87:50:39,0.164,0.079,0.044,0.002,
J1352-4150,13:52:48,-41:50:30,0.142,0.123,0.099,0.072,0.11
1349-439,13:52:57,-44:12:40,0.381,0.704,0.757,0.936,0.285
J1353-8751,13:53:03,-87:51:08,0.406,0.31,0.171,0.102,
1351-018,13:54:07,-02:06:03,0.873,0.776,0.506,0.343,0.17
J1354-7353,13:54:45,-73:53:42,0.283,0.25,0.176,0.086,0.177
J1354-1041,13:54:47,-10:41:03,0.589,0.531,0.487,0.531,1.296
J1355-5236,13:55:33,-52:36:44,0.094,0.137,0.097,0.082,0.053
1352-63,13:55:47,-63:26:43,1.24,0.942,0.625,0.367,0.713
1353-341,13:56:05,-34:21:11,0.635,0.541,0.275,0.164,0.091
1354-174,13:57:06,-17:44:02,1.215,0.818,0.365,0.207,0.073
1354-152,13:57:11,-15:27:29,0.225,0.735,1.17,1.69,0.589
1356+022,13:59:27,01:59:55,0.444,0.588,0.824,0.769,0.558
J1400-5604,14:00:42,-56:04:56,0.23,0.17,0.228,0.116,0.425
1402-012,14:04:46,-01:30:22,0.574,0.497,0.265,0.119,0.002
1402+044,14:05:01,04:15:36,0.979,0.839,0.663,0.304,0.24
J1405-6904,14:05:28,-69:04:02,0.486,0.267,0.192,0.101,0.135
1404+286,14:07:00,28:27:15,,,0.28,,
J1407-4302,14:07:40,-43:02:32,0.134,0.224,0.337,0.326,0.273
J1408-5712,14:08:26,-57:12:54,0.117,0.175,0.147,0.32,0.331
1406-076,14:08:56,-07:52:27,0.716,0.974,0.918,1.618,0.883
1406-267,14:09:50,-26:57:37,0.555,0.531,0.641,0.316,0.265
1407+022,14:10:05,02:03:07,0.579,0.588,0.531,0.326,0.149
1408+077,14:10:35,07:31:21,,0.123,0.143,0.092,0.153
1412-368,14:15:26,-37:05:27,0.343,0.306,0.185,0.134,0.143
1413+135,14:15:59,13:20:24,,0.83,0.695,,
1414-59,14:17:42,-59:50:38,0.562,0.649,0.629,0.453,0.769
1416+067,14:19:08,06:28:35,3.874,1.23,0.454,0.108,0.018
J1419-5155,14:19:35,-51:54:59,,0.811,,,
J1421-4820,14:21:39,-48:20:23,0.257,0.397,0.569,0.369,0.512
1421-490,14:24:32,-49:13:50,8.658,5.403,2.785,1.75,1.168
J1424-7241,14:24:52,-72:41:17,0.489,0.301,0.154,0.103,0.397
1420-679,14:24:56,-68:07:58,,1.458,,,
1422-297,14:25:29,-29:59:54,0.943,0.615,0.2,0.05,0.019
J1427-3306,14:27:42,-33:05:32,0.107,0.537,0.775,0.844,1.871
1424-418,14:27:56,-42:06:19,2.663,7.277,7.605,5.795,6.024
1425-274,14:28:28,-27:41:51,1.079,0.514,0.133,0.026,0.049
J1431-4501,14:31:01,-45:01:01,0.42,0.438,0.298,0.223,0.219
1430-178,14:32:58,-18:01:35,0.669,0.52,0.765,0.487,0.251
1430-155,14:33:21,-15:48:45,0.69,0.958,0.586,0.368,0.164
J1433-8341,14:33:28,-83:41:09,0.161,0.28,0.215,0.253,0.404
1431-48,14:35:17,-48:21:48,1.606,0.939,0.387,0.188,0.168
1435-218,14:38:09,-22:04:55,0.704,0.798,0.766,0.538,0.346
1436-167,14:39:29,-16:59:03,1.34,0.418,0.099,0.028,-0.001
1437-153,14:39:57,-15:31:51,0.428,0.345,0.32,0.211,0.171
J1442-5407,14:42:33,-54:07:53,0.41,0.27,0.129,0.094,0.094
1442+101,14:45:16,09:58:36,1.896,0.947,0.308,0.184,0.038
1443-162,14:45:53,-16:29:02,0.314,0.401,0.261,0.348,0.228
1445-162,14:48:15,-16:20:25,1.529,0.98,0.738,0.268,0.356
1446+042,14:48:50,04:02:20,0.439,0.574,0.294,0.553,0.157
1448+093,14:50:31,09:10:28,0.181,0.136,0.376,0.293,0.503
J1450-5614,14:50:35,-56:14:53,0.291,0.228,0.194,0.164,0.191
1448-232,14:51:03,-23:29:30.,,0.239,,,
1450-338,14:54:02,-34:00:57,0.998,0.58,0.253,0.139,0.146
1451-375,14:54:27,-37:47:33,1.354,1.905,1.814,0.997,1.069
1451-400,14:54:33,-40:12:33,0.872,0.744,0.554,0.299,0.241
J1456-5618,14:56:04,-56:18:37,0.214,0.196,0.255,0.212,0.124
J1457-4248,14:57:13,-42:48:37,0.164,0.223,0.315,0.183,0.099
1454-354,14:57:27,-35:39:10,,0.95,1.222,1.121,
