Name,R.A.,Dec.,16cm,4cm,15mm,7mm,3mm
0133-203,01:35:38,-20:08:46,0.501,0.44,0.288,0.156,0.109
J0136-4044,01:36:03,-40:44:50,0.12,0.195,0.293,0.302,0.446
0135-247,01:37:38,-24:30:54,1.427,1.583,1.31,0.832,1.967
0138-097,01:41:26,-09:28:44,0.542,0.801,1.383,1.289,0.418
0139-273,01:41:27,-27:06:07,1.056,0.347,0.063,0.013,0.006
0142-278,01:45:03,-27:33:34,0.709,0.73,0.577,0.336,0.714
J0146-5202,01:46:49,-52:02:34,0.297,0.249,0.19,0.139,0.243
0146+056,01:49:22,05:55:54,0.979,0.96,0.646,0.346,0.063
0147-076,01:50:03,-07:25:48,0.14,0.064,0.052,0.024,0.016
0150-334,01:53:10,-33:10:26,0.961,1.215,1.037,0.617,0.256
0151+081,01:54:03,08:23:51,0.072,0.072,0.061,0.041,0.213
J0154-5107,01:54:20,-51:07:52,0.248,0.378,0.351,,0.269
0153-410,01:55:37,-40:48:42,1.925,1.188,0.555,0.267,0.13
J0156-5439,01:56:50,-54:39:49,0.505,0.558,0.288,,0.024
0155-109,01:57:42,-10:43:40,1.414,0.352,0.224,0.057,0.087
J0157-4614,01:57:51,-46:14:23,0.147,0.218,0.258,0.213,0.133
J0159-7231,01:59:34,-72:31:45,0.207,0.186,0.198,,0.144
J0200-4010,02:00:12,-40:10:58,0.279,0.231,0.14,,0.038
0158+031,02:00:41,03:22:50,0.157,0.48,0.208,0.102,0.31
J0201-6638,02:01:08,-66:38:13,0.208,0.232,0.224,,0.165
0159+034,02:01:52,03:43:09,0.285,0.207,0.159,0.116,0.055
0159-117,02:01:57,-11:32:33,1.079,1.382,0.91,0.417,0.165
0201-440,02:03:41,-43:49:51,1.951,0.652,0.287,0.118,0.007
0201+113,02:03:47,11:34:45,,,0.331,,
0202-172,02:04:58,-17:01:20,1.26,1.769,1.452,1.278,1.386
J0206-6143,02:06:40,-61:43:32,0.268,0.396,0.409,,0.233
J0208-6216,02:08:01,-62:16:36,0.203,0.225,0.118,,0.035
